page,category,subcategory,question,choices,answer,explanation
1,呼吸器,上気道感染,成人のかぜ症候群の病原体として最も多いのはどれか,"ライノウイルス|マイコプラズマ|インフルエンザ菌|RSウイルス",ライノウイルス,"かぜ症候群の約80〜90%はウイルス感染であり、成人ではライノウイルスが最多である。RSウイルスは小児に多く、マイコプラズマは非定型肺炎の原因である。"
1,呼吸器,肺炎,急性肺炎の検査所見で誤っているのはどれか,"赤沈亢進|CRP陽性|好中球増多|血小板増多",血小板増多,"急性肺炎では炎症反応としてCRP上昇、赤沈亢進、好中球増多がみられる。血小板増多は一般的ではない。"
1,呼吸器,肺炎,マイコプラズマ肺炎で正しい記述はどれか,"ウイルス性の疾患である|水痘様の発疹が出る|頑固な咳を伴う|成人に感染しない",頑固な咳を伴う,"マイコプラズマは細菌でありウイルスではない。乾性で持続する咳嗽が特徴であり、成人にも感染する。"
1,呼吸器,肺炎,細菌性肺炎で変化しないのはどれか,"赤血球数|CRP値|赤血球沈降速度|白血球数",赤血球数,"細菌性肺炎では炎症所見としてCRP上昇、白血球増加、赤沈亢進がみられる外、赤血球数は基本的に変化しない。"
1,呼吸器,肺炎,市中肺炎の病原体で最も多いのはどれか,"マイコプラズマ|インフルエンザ菌|肺炎球菌|緑膿菌",肺炎球菌,"市中肺炎の最も頻度が高い原因菌は肺炎球菌である。マイコプラズマは非定型肺炎、緑膿菌は院内感染に多い。"
1,呼吸器,肺炎,院内肺炎の主な起炎菌に入らないのはどれか,"インフルエンザ菌|黄色ブドウ球菌|緑膿菌|MRSA",インフルエンザ菌,"院内肺炎では耐性菌（緑膿菌、MRSA、黄色ブドウ球菌）が重要であり、インフルエンザ菌は市中感染で多い。"
1,呼吸器,肺炎,非定型肺炎について正しいのはどれか,"CRP陰性となる|マイコプラズマが原因として多い|発熱はない|乾酪性肉芽腫を認める",マイコプラズマが原因として多い,"非定型肺炎はマイコプラズマが代表的原因で、CRPは陰性とは限らず、発熱もある。乾酪性肉芽腫は結核の所見。"
1,呼吸器,肺炎,非定型肺炎の起因菌はどれか,"クリプトコッカス|マイコプラズマ|肺炎球菌|トキソプラズマ",マイコプラズマ,"非定型肺炎の代表はマイコプラズマである。肺炎球菌は定型肺炎、クリプトコッカスは真菌。"
2,呼吸器,肺炎,非定型肺炎の説明として正しいのはどれか,"血中白血球数は著増する|湿性咳嗽が顕著である|湿性ラ音を聴取しやすい|高熱を発する",高熱を発する,"非定型肺炎でも発熱はみられるが、白血球増多は軽度で乾性咳嗽が主体である。"
2,呼吸器,肺炎,マイコプラズマ肺炎で正しい記述はどれか,"老年者に多い|潜伏期間2～3日|消化器症状はない|乾性咳が多い",乾性咳が多い,"マイコプラズマ肺炎では乾性咳嗽が特徴。潜伏期間は1〜2週間であり若年者に多い。"
2,呼吸器,肺炎,肺炎について正しいのはどれか,"原因はウイルスが多い|若年者の死亡率が高い|ワクチン接種が推奨|湿性咳が多い",ワクチン接種が推奨,"高齢者では肺炎球菌ワクチン接種が推奨される。細菌性肺炎が多く、死亡率は高齢者で高い。"
2,呼吸器,感染総論,呼吸器感染症について正しいのはどれか,"上気道炎は抗菌薬|高齢者ワクチン推奨|IFNγは非結核で陽性|日本は結核少ない",高齢者ワクチン推奨,"上気道炎は多くがウイルス性で抗菌薬不要。IGRAは結核で陽性、日本は結核が多い国。"
2,呼吸器,症候,咳・痰について正しいのはどれか,"痰あり＝乾性咳|喘息は咳なし|血痰少量は問題なし|誤嚥時の咳は防御反応",誤嚥時の咳は防御反応,"咳は異物排除の防御機構である。乾性咳嗽は痰を伴わない。血痰は少量でも精査が必要。"
2,呼吸器,インフルエンザ,インフルエンザウイルスについて誤っているのはどれか,"小児脳症に注意|飛沫感染|消化器症状なし|ワクチンで発症なし",ワクチンで発症なし,"ワクチンは重症化予防であり完全に発症を防ぐものではない。消化器症状も出ることがある。"
3,呼吸器,結核,肺結核の診断に用いられないのはどれか,"BCG|喀痰検査|胸部エックス線検査|ツベルクリン反応",BCG,"BCGは予防（ワクチン）であり診断には用いない。喀痰検査、胸部X線、ツベルクリン反応は診断に有用である。"
3,呼吸器,結核,肺結核を疑う症状で適切でないのはどれか,"胸痛|喀痰|微熱|咳嗽",胸痛,"肺結核では咳嗽・喀痰・微熱など慢性症状が多く、胸痛は必発ではない。"
3,呼吸器,結核,肺結核について正しいのはどれか,"接触感染が多い|一次結核が多い|クオンティフェロン使用|糖尿病で再発少ない",クオンティフェロン使用,"IGRA（クオンティフェロン）は結核診断に有用。結核は空気感染であり、糖尿病では再発しやすい。"
3,呼吸器,COPD,COPDで正しいのはどれか,"喫煙は影響しない|安静時呼吸困難|閉塞性障害|発作時狭窄音",閉塞性障害,"COPDは閉塞性障害が特徴であり主原因は喫煙。安静時より労作時呼吸困難が主。"
3,呼吸器,COPD,COPDについて正しいのはどれか,"女性に多い|拘束性障害|安静時呼吸困難|ワクチン有効",ワクチン有効,"COPDでは感染予防が重要でありワクチン接種が有効。閉塞性障害で男性・喫煙者に多い。"
3,呼吸器,感染総論,呼吸器感染症について正しいのはどれか,"非結核性抗酸菌は感染する|感冒は細菌|結核は単剤治療|耐性化が問題",耐性化が問題,"抗菌薬の過使用により耐性菌増加が問題。結核は多剤併用治療が基本。"
3,呼吸器,非結核性抗酸菌,非結核性抗酸菌症で正しいのはどれか,"男性に多い|人から感染|難治性|手術対象外",難治性,"非結核性抗酸菌症は環境常在菌で人から人へ感染せず、治療が難しい。"
4,呼吸器,肺気腫,肺気腫の発症に最も関与する疾患はどれか,"胸膜炎|気胸|肺癌|慢性気管支炎",慢性気管支炎,"慢性気管支炎と肺気腫はCOPDの構成要素であり、密接関係する。"
4,呼吸器,肺気腫,肺気腫について誤っている記述はどれか,"ビール樽状胸郭|1秒率低下|透過性亢進|動脈血酸素分圧上昇",動脈血酸素分圧上昇,"肺気腫では低酸素血症になるためPaO2は低下する。"
4,呼吸器,慢性気管支炎,慢性気管支炎で誤っているのはどれか,"喫煙で悪化|気道抵抗増加|湿性ラ音|高熱",高熱,"慢性気管支炎は慢性炎症であり高熱は通常伴わない。"
4,呼吸器,肺気腫,肺気腫の原因として適切でないのはどれか,"加齢|肺癌|慢性気管支炎|喫煙",肺癌,"肺癌は腫瘍疾患であり肺気腫の原因ではない。主因は喫煙。"
4,呼吸器,肺気腫,肺気腫の病変部位でないのはどれか,"気管支|終末細気管支|呼吸細気管支|肺胞",気管支,"肺気腫は末梢気道（細気管支〜肺胞）が対象であり、太い気管支は主病変ではない。"
4,呼吸器,肺気腫,肺気腫について正しい記述はどれか,"肺胞線維化|CO2ナルコーシス|呼気短縮|残気量減少",CO2ナルコーシス,"重症では高炭酸ガス血症によりCO2ナルコーシスをきたす。呼気は延長、残気量は増加。"
4,呼吸器,慢性気管支炎,慢性気管支炎について誤っているのはどれか,"1か月以上|閉塞性|湿性咳嗽|禁煙重要",1か月以上,"定義は「1年に3か月以上が2年以上」であり1か月ではない。"
4,呼吸器,慢性気管支炎,慢性気管支炎について正しい記述はどれか,"拘束性疾患|若年多い|喫煙原因|乾性咳嗽",喫煙原因,"慢性気管支炎は喫煙が最大の原因で、湿性咳嗽が特徴。"
5,呼吸器,喘息,気管支喘息について正しい記述はどれか,"若年より老人に多い|低酸素血症をきたさない|人工呼吸は禁忌|予後は良好",予後は良好,"気管支喘息は適切な治療により予後は比較的良好である。低酸素血症は重症発作で起こりうる。"
5,呼吸器,喘息,気管支喘息について誤っている記述はどれか,"気道炎症あり|気道狭窄あり|発作で呼吸困難|拘束性障害",拘束性障害,"気管支喘息は可逆性の閉塞性障害であり拘束性ではない。"
5,呼吸器,間質性肺疾患,肺線維症でみられないのはどれか,"胸痛|乾性咳嗽|息切れ|肺活量減少",胸痛,"肺線維症では乾性咳嗽・息切れ・肺活量低下が典型であり胸痛は一般的でない。"
5,呼吸器,間質性肺疾患,急性間質性肺炎について正しい記述はどれか,"若年者に多い|肺コンプライアンス低下|細菌感染|予後良好",肺コンプライアンス低下,"間質性肺炎では肺の硬化によりコンプライアンス低下がみられる。予後は不良なことが多い。"
5,呼吸器,間質性肺疾患,特発性肺線維症の危険因子でないのはどれか,"喫煙|過食|薬剤|感染",過食,"特発性肺線維症のリスクには喫煙・薬剤・感染などがあるが過食は無関係。"
5,呼吸器,間質性肺疾患,特発性肺線維症で誤っている記述はどれか,"60歳代に多い|細菌性肺炎に含まれる|重篤な呼吸障害|線維化あり",細菌性肺炎に含まれる,"特発性肺線維症は細菌感染ではなく間質性疾患であり線維化が主体。"
5,呼吸器,肺癌,肺癌と関係ないのはどれか,"ギラン・バレー|ホルネル症候群|上大静脈症候群|嗄声",ギラン・バレー,"肺癌は神経圧迫によりホルネル症候群や嗄声をきたすが、ギラン・バレーとの関連はない。"
6,呼吸器,肺癌,肺癌の隣接臓器への浸潤による症状でないのはどれか,"嚥下障害|散瞳|嗄声|頸部静脈怒張",散瞳,"肺癌では反回神経や上大静脈圧迫による症状が出るが散瞳は典型的でない。"
6,呼吸器,肺癌,肺癌の診断に有用でないのはどれか,"喀痰検査|気管支鏡|CT検査|スパイログラフィー",スパイログラフィー,"肺機能検査は診断より機能評価で用いられる。"
6,呼吸器,肺癌,原発性肺癌が頸部交感神経節に浸潤した場合にみられるのはどれか,"うっ血乳頭|血痰|眼裂狭小|女性化乳房",眼裂狭小,"ホルネル症候群（眼裂狭小・縮瞳）がみられる。"
6,呼吸器,肺癌,肺癌の所見と浸潤部位の組合せで誤っているのはどれか,"嗄声-反回神経|顔面浮腫-上大静脈|縮瞳-迷走神経|呼吸困難-気管支",縮瞳-迷走神経,"縮瞳は交感神経障害であり迷走神経ではない。"
6,呼吸器,肺癌,肺癌の検査法で適切でないのはどれか,"超音波検査|CT検査|MRI検査|PET検査",超音波検査,"肺は空気を含むため超音波検査は不向きである。"
6,呼吸器,気胸,気胸について正しい記述はどれか,"突然嗄声|肥満が危険因子|女性に多い|緊張性は緊急処置必要",緊張性は緊急処置必要,"緊張性気胸では循環不全を来すため緊急処置が必要。"
6,呼吸器,気胸,気胸を疑う必要のある症状はどれか,"刺激性の咳|嘔気|呼吸数減少|めまい",刺激性の咳,"気胸では突然の胸痛や乾性咳などがみられる。"
6,呼吸器,気胸,原発性自然気胸について誤っているのはどれか,"若年に多い|肥満に多い|喫煙者に多い|再発率高い",肥満に多い,"原発性自然気胸はやせ型若年男性に多い。"
6,呼吸器,気胸,自然気胸について正しいのはどれか,"女性に多い|肥満が多い|胸痛をきたす|緊張性にならない",胸痛をきたす,"突然の胸痛・呼吸困難が典型。"
7,内分泌,成長ホルモン異常,巨人症でみられないのはどれか,"発汗過多|高血圧|筋緊張亢進|月経異常",筋緊張亢進,"GH過剰では代謝亢進や発汗増加などがみられるが筋緊張亢進は典型でない。"
7,内分泌,下垂体,成長ホルモン分泌不全性低身長症で正しいのはどれか,"均整とれる|知能障害|器質性80%|脳炎が最多原因",均整とれる,"GH欠乏ではプロポーションは保たれる。"
7,内分泌,尿崩症,下垂体性尿崩症で誤っているのはどれか,"バソプレッシン低下|続発性多い|高血糖|多飲",高血糖,"尿崩症はADH異常であり血糖は関係ない。"
